category,name,url
Arrays & Hashing,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/description/
Arrays & Hashing,Valid Anagram,https://leetcode.com/problems/valid-anagram/description/
Arrays & Hashing,Two Sum,https://leetcode.com/problems/two-sum/description/
Arrays & Hashing,Group Anagrams,https://leetcode.com/problems/group-anagrams/description/
Arrays & Hashing,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/description/
Arrays & Hashing,Encode and Decode Strings,https://leetcode.com/problems/encode-and-decode-strings/description/
Arrays & Hashing,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/description/
Arrays & Hashing,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/description/
Arrays & Hashing,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/description/
Two Pointers,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/description/
Two Pointers,Two Sum II Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/description/
Two Pointers,3Sum,https://leetcode.com/problems/3sum/description/
Two Pointers,Container With Most Water,https://leetcode.com/problems/container-with-most-water/description/
Two Pointers,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/description/
Sliding Window,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description/
Sliding Window,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/description/
Sliding Window,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/description/
Sliding Window,Permutation in String,https://leetcode.com/problems/permutation-in-string/description/
Sliding Window,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/description/
Sliding Window,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/description/
Stack,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/description/
Stack,Min Stack,https://leetcode.com/problems/min-stack/description/
Stack,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/description/
Stack,Daily Temperatures,https://leetcode.com/problems/daily-temperatures/description/
Stack,Car Fleet,https://leetcode.com/problems/car-fleet/description/
Stack,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/description/
Binary Search,Binary Search,https://leetcode.com/problems/binary-search/description/
Binary Search,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/description/
Binary Search,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/description/
Binary Search,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/description/
Binary Search,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/description/
Binary Search,Time Based Key Value Store,https://leetcode.com/problems/time-based-key-value-store/description/
Binary Search,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/description/
Linked List,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/description/
Linked List,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/description/
Linked List,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/description/
Linked List,Reorder List,https://leetcode.com/problems/reorder-list/description/
Linked List,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/description/
Linked List,Copy List With Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/description/
Linked List,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/description/
Linked List,Find the Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number/description/
Linked List,LRU Cache,https://leetcode.com/problems/lru-cache/description/
Linked List,Merge K Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/description/
Linked List,Reverse Nodes in K Group,https://leetcode.com/problems/reverse-nodes-in-k-group/description/
Trees,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/description/
Trees,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/description/
Trees,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/description/
Trees,Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree/description/
Trees,Same Tree,https://leetcode.com/problems/same-tree/description/
Trees,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree/description/
Trees,Lowest Common Ancestor of a Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/description/
Trees,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/description/
Trees,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/description/
Trees,Count Good Nodes in Binary Tree,https://leetcode.com/problems/count-good-nodes-in-binary-tree/description/
Trees,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/description/
Trees,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/description/
Trees,Construct Binary Tree From Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/description/
Trees,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/description/
Trees,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/description/
Heap / Priority Queue,Kth Largest Element in a Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream/description/
